n_ac_risk_impacts,project_name,n_risks,n_mitigations_per_risk,n_mitigations,n_ac_impacts_per_risk,project_id,n_activities,n_penalties,A-total-investment,B-total-investment,C-total-investment,D-total-investment,activities_impact_cost,algorithm,algorithm_gap,algorithm_lb,baseline_cost,best_sol_iter,best_sol_time,crashing_cost,execution_master,execution_separation,execution_time,gap,investment_level,investment_limit,mitigations_cost,n_crashing_activities,n_iterations,n_materialized_risks,n_mitigations,penalties_cost,project,topology,total_cost,total_investment,unc_budget,unc_budget_level,uncertainty_cost
36,SP-psplib_j2023_7.mm-psplib_j2049_1.mm-psplib_j2056_9.mm-psplib_j2032_5.mm,12,1.0,12,3.0,SP,80,4,43.0,94.0,74.0,81.0,143.0,Min-Max,0.0,1056.0,621.0,78,788.750693798,34.0,782.997894049,7.84168934822,790.930575848,0.0,100%,915.0,258.0,5,79,7,11,0,SP-psplib_j2023_7.mm-psplib_j2049_1.mm-psplib_j2056_9.mm-psplib_j2032_5.mm,Diamond,1056.0,292.0,619.8,60%,559.0
36,SP-psplib_j2025_10.mm-psplib_j2019_2.mm-psplib_j2060_5.mm-psplib_j2017_2.mm,12,1.0,12,3.0,SP,80,4,106.0,71.0,36.0,76.0,165.0,Min-Max,0.0,1081.0,627.0,42,133.820741892,89.0,193.031584024,5.74584436417,207.56277585,0.0,100%,932.0,200.0,10,51,8,9,0,SP-psplib_j2025_10.mm-psplib_j2019_2.mm-psplib_j2060_5.mm-psplib_j2017_2.mm,Diamond,1081.0,289.0,600.0,60%,548.0
36,SP-psplib_j2030_6.mm-psplib_j2052_7.mm-psplib_j2017_8.mm-psplib_j2063_9.mm,12,1.0,12,3.0,SP,80,4,115.0,58.0,51.0,49.0,211.0,Min-Max,0.0,1125.0,641.0,53,277.103340864,85.0,269.745427608,8.52836346626,278.356096029,0.0,100%,983.0,188.0,9,54,8,7,0,SP-psplib_j2030_6.mm-psplib_j2052_7.mm-psplib_j2017_8.mm-psplib_j2063_9.mm,Diamond,1125.0,273.0,577.2,60%,503.0
36,SP-psplib_j2022_9.mm-psplib_j2055_5.mm-psplib_j2045_9.mm-psplib_j2027_7.mm,12,1.0,12,3.0,SP,80,4,112.0,132.0,101.0,10.0,196.0,Min-Max,0.0,1364.0,625.0,28,65.2706711292,175.0,62.5455272198,3.43008852005,69.3774120808,0.0,100%,939.0,180.0,23,29,8,9,188.0,SP-psplib_j2022_9.mm-psplib_j2055_5.mm-psplib_j2045_9.mm-psplib_j2027_7.mm,Diamond,1364.0,355.0,579.6,60%,566.0
36,SP-psplib_j2046_7.mm-psplib_j2052_2.mm-psplib_j2050_8.mm-psplib_j2025_4.mm,12,1.0,12,3.0,SP,80,4,144.0,10.0,42.0,48.0,233.0,Min-Max,0.0,1112.0,635.0,46,146.707106829,79.0,140.173722744,7.47548723221,147.729337931,0.0,100%,985.0,165.0,9,47,8,8,0,SP-psplib_j2046_7.mm-psplib_j2052_2.mm-psplib_j2050_8.mm-psplib_j2025_4.mm,Diamond,1112.0,244.0,576.0,60%,504.0
36,SP-psplib_j2056_3.mm-psplib_j2058_2.mm-psplib_j2039_4.mm-psplib_j2051_8.mm,12,1.0,12,3.0,SP,80,4,65.0,27.0,28.0,52.0,199.0,Min-Max,0.0,1016.0,645.0,23,39.7960300446,73.0,71.2966549397,3.20731520653,78.7199709415,0.0,100%,902.0,99.0,8,32,9,7,0,SP-psplib_j2056_3.mm-psplib_j2058_2.mm-psplib_j2039_4.mm-psplib_j2051_8.mm,Diamond,1016.0,172.0,586.2,60%,582.0
36,SP-psplib_j2014_6.mm-psplib_j2020_6.mm-psplib_j209_1.mm-psplib_j2038_1.mm,12,1.0,12,3.0,SP,80,4,123.0,64.0,23.0,4.0,152.0,Min-Max,0.0,982.0,616.0,30,63.2653570175,101.0,103.913966894,5.38300538063,113.470381975,0.0,100%,822.0,113.0,12,40,9,7,0,SP-psplib_j2014_6.mm-psplib_j2020_6.mm-psplib_j209_1.mm-psplib_j2038_1.mm,Diamond,982.0,214.0,644.4,60%,635.0
36,SP-psplib_j2024_7.mm-psplib_j2029_9.mm-psplib_j2041_2.mm-psplib_j2053_8.mm,12,1.0,12,3.0,SP,80,4,82.0,58.0,61.0,81.0,312.0,Min-Max,0.0,1200.0,581.0,55,262.315587044,159.0,263.163803577,9.49269366264,281.383571148,0.0,100%,985.0,123.0,19,57,8,7,25.0,SP-psplib_j2024_7.mm-psplib_j2029_9.mm-psplib_j2041_2.mm-psplib_j2053_8.mm,Diamond,1200.0,282.0,612.6,60%,559.0
36,SP-psplib_j2027_1.mm-psplib_j2034_6.mm-psplib_j2013_7.mm-psplib_j2040_2.mm,12,1.0,12,3.0,SP,80,4,51.0,124.0,34.0,56.0,103.0,Min-Max,0.0,1003.0,635.0,31,99.1165258884,64.0,157.431291342,4.74970722198,170.398684978,0.0,100%,883.0,201.0,8,40,7,10,0,SP-psplib_j2027_1.mm-psplib_j2034_6.mm-psplib_j2013_7.mm-psplib_j2040_2.mm,Diamond,1003.0,265.0,595.8,60%,556.0
48,SP-psplib_j1242_7.mm-psplib_j1225_2.mm-psplib_j1249_1.mm-psplib_j1246_9.mm,16,1.0,16,3.0,SP,48,4,123.0,77.0,65.0,70.0,217.0,Min-Max,0.0,926.0,374.0,52,152.562664032,117.0,148.71592927,4.32299089432,153.097764015,0.0,100%,786.0,218.0,14,53,10,13,0,SP-psplib_j1242_7.mm-psplib_j1225_2.mm-psplib_j1249_1.mm-psplib_j1246_9.mm,Diamond,926.0,335.0,883.2,60%,805.0
